model,history,misprediction_rate,accuracy,precision,recall,f-1
CNN,4,0.1848,0.844,0.8228,0.781,0.7974
RNN,4,0.1848,0.844,0.8228,0.781,0.7974
MLP,4,0.1848,0.844,0.8228,0.781,0.7974
CNN,9,0.1553,0.8657,0.859,0.8013,0.8228
RNN,9,0.1446,0.8735,0.8804,0.803,0.83
MLP,9,0.1451,0.8735,0.8813,0.802,0.829
CNN,15,0.1508,0.869,0.8584,0.8105,0.8296
RNN,15,0.1092,0.9014,0.8926,0.862,0.875
MLP,15,0.1123,0.899,0.892,0.855,0.871
CNN,21,0.1499,0.8696,0.8525,0.8193,0.8335
RNN,21,0.097,0.9116,0.897,0.8843,0.89
MLP,21,0.1013,0.908,0.905,0.866,0.8823
