model,history,misprediction_rate,accuracy,precision,recall,f-1
CNN,4,0.7953,0.6196,0.6198,0.6198,0.6198
RNN,4,0.7772,0.5625,0.566,0.564,0.5596
MLP,4,0.7772,0.5625,0.566,0.564,0.5596
CNN,9,0.5294,0.654,0.656,0.654,0.653
RNN,9,0.3849,0.722,0.723,0.7227,0.722
MLP,9,0.3849,0.722,0.722,0.722,0.722
CNN,15,0.2864,0.777,0.779,0.778,0.7773
RNN,15,0.0519,0.9507,0.9507,0.9507,0.9507
MLP,15,0.0561,0.9473,0.9473,0.9473,0.9473
CNN,21,0.2063,0.829,0.829,0.829,0.829
RNN,21,0.0266,0.974,0.974,0.974,0.974
MLP,21,0.0272,0.9736,0.9736,0.9736,0.9736
